,lemma,pos,synset_cnt,p_cnt,ptr_symbol,sense_cnt,tagsense_cnt,synset_offset
9726,square_dance,v,1,2,"['@', '+']",1,0,['01898893']
9727,square_off,v,1,2,"['@', '~']",1,0,['00763399']
9728,square_up,v,3,2,"['@', '~']",3,1,"['00145448', '01987648', '00763399']"
9729,squash,v,1,2,"['@', '~']",1,1,['01593937']
9730,squat,v,3,2,"['@', '+']",3,2,"['01545314', '02725562', '02649712']"
9731,squawk,v,2,2,"['@', '+']",2,1,"['01048939', '00910973']"
9732,squeak,v,1,2,"['@', '+']",1,1,['02171664']
9733,squeak_by,v,2,1,['@'],2,0,"['02588464', '01247684']"
9734,squeak_through,v,1,1,@,1,0,01247684
9735,squeal,v,2,2,"['@', '+']",2,1,"['01054694', '00819508']"
9736,squeegee,v,1,2,"['@', '+']",1,0,['01392790']
9737,squeeze,v,9,5,"['@', '~', '>', '^', '+']",9,3,"['01593937', '01447868', '01527271', '02504562', '02241107', '02094569', '01456771', '01424456', '01387786']"
9738,squeeze_by,v,1,1,@,1,0,02588464
9739,squeeze_for,v,1,1,@,1,0,02506068
9740,squeeze_out,v,6,3,"['@', '~', '*']",6,3,"['02404076', '02239997', '01349318', '02239846', '01675780', '01375637']"
9741,squelch,v,4,3,"['@', '~', '+']",4,1,"['00463234', '02179279', '01921591', '01593937']"
9742,squinch,v,3,2,"['@', '~']",3,0,"['02063225', '02061069', '00008602']"
9743,squint,v,3,2,"['@', '+']",3,1,"['00008602', '02168070', '00008799']"
9744,squire,v,1,2,"['@', '+']",1,0,['02026203']
9745,squirm,v,1,3,"['@', '~', '+']",1,1,['01868370']
9746,squirrel_away,v,1,1,@,1,0,02305856
9747,squirt,v,2,3,"['@', '~', '+']",2,1,"['01375637', '01313411']"
9748,squish,v,2,1,['@'],2,0,"['01921591', '01613589']"
9749,stab,v,3,3,"['@', '~', '+']",3,1,"['01231652', '01230350', '01229976']"
9750,stabilise,v,3,4,"['!', '@', '~', '+']",3,0,"['01219993', '00271946', '00270826']"
9751,stabilize,v,3,4,"['!', '@', '~', '+']",3,1,"['00270826', '01219993', '00271946']"
9752,stable,v,1,3,"['@', '+', ';']",1,1,['02459915']
9753,stack,v,3,4,"['@', '~', '^', '+']",3,1,"['01503952', '01503404', '01464781']"
9754,stack_away,v,1,2,"['@', '~']",1,0,['02281093']
9755,stack_up,v,1,1,@,1,0,01504298
9756,staff,v,2,3,"['@', '~', '+']",2,1,"['01088749', '01095739']"
9757,stag,v,3,3,"['@', '~', '*']",3,0,"['02596275', '00841986', '00785690']"
9758,stage,v,2,4,"['@', '~', '+', ';']",2,2,"['01711445', '01648126']"
9759,stage_direct,v,1,2,"['@', ';']",1,0,['01711336']
9760,stagger,v,4,2,"['@', '+']",4,3,"['01924882', '01925170', '01504130', '01810126']"
9761,stagnate,v,4,4,"['@', '~', '$', '+']",4,0,"['02725286', '02725067', '02724835', '02417504']"
9762,stain,v,4,4,"['@', '~', '$', '+']",4,2,"['00286008', '00286605', '01537409', '00283415']"
9763,stake,v,5,4,"['@', '~', '*', '+']",5,3,"['02545272', '01139104', '01591476', '01591940', '01572003']"
9764,stale,v,1,1,@,1,0,00072897
9765,stalemate,v,1,3,"['@', '+', ';']",1,0,['01077203']
9766,stalinise,v,1,2,"['@', '+']",1,0,['00569087']
9767,stalinize,v,1,3,"['!', '@', '+']",1,0,['00569087']
9768,stalk,v,3,2,"['@', '+']",3,2,"['01924148', '02004009', '02001252']"
9769,stall,v,7,4,"['@', '~', '+', ';']",7,3,"['02642238', '01862340', '00460555', '02460070', '01862776', '01862640', '01862496']"
9770,stammer,v,1,2,"['@', '+']",1,1,['00981544']
9771,stamp,v,9,3,"['@', '~', '+']",9,6,"['01925338', '01273016', '02144644', '01273814', '00656292', '00478488', '01624568', '01594362', '01531265']"
9772,stamp_down,v,1,2,"['@', '~']",1,1,['00462092']
9773,stamp_out,v,1,1,@,1,1,00355038
9774,stampede,v,4,4,"['@', '*', '>', '+']",4,1,"['02086805', '02594469', '02594290', '02056300']"
9775,stanch,v,1,1,@,1,0,00354452
